;Mês de referência:;Código Fipe:;Marca:;Modelo:;Ano Modelo:;Autenticação;Data da consulta;Preço Médio
0;abril de 2021 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;mf5dnr75hync;terça-feira, 6 de abril de 2021 19:55;R$ 24.123,00
1;março de 2021 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;mdc4zpkqnsnc;terça-feira, 6 de abril de 2021 19:56;R$ 23.971,00
2;fevereiro de 2021 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l7sn2y2ymxnc;terça-feira, 6 de abril de 2021 19:57;R$ 23.579,00
3;janeiro de 2021 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l44jl26s9tnc;terça-feira, 6 de abril de 2021 19:57;R$ 23.353,00
4;dezembro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l13rktckkknc;terça-feira, 6 de abril de 2021 20:01;R$ 23.095,00
5;novembro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lycs6kymrgnc;terça-feira, 6 de abril de 2021 20:02;R$ 22.776,00
6;outubro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lw126762frnc;terça-feira, 6 de abril de 2021 20:02;R$ 22.664,00
7;setembro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lsj1yl47mqnc;terça-feira, 6 de abril de 2021 20:03;R$ 22.364,00
8;agosto de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lqj8f67j1nnc;terça-feira, 6 de abril de 2021 20:03;R$ 22.194,00
9;julho de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lnlkrqpc72nc;terça-feira, 6 de abril de 2021 20:04;R$ 22.027,00
10;junho de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l0ydqx44fxnc;terça-feira, 6 de abril de 2021 20:04;R$ 22.995,00
11;maio de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l0908z9k1fnc;terça-feira, 6 de abril de 2021 20:05;R$ 23.027,00
12;abril de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l18t6ftpzcnc;terça-feira, 6 de abril de 2021 20:06;R$ 23.109,00
